"-120.45","50.70","KAMLOOPS A","1163781","2024-01-01","2024","01","01","","6.3","","1.1","","3.7","","14.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-02","2024","01","02","","3.7","","-1.0","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-03","2024","01","03","","3.6","","1.1","","2.4","","15.6","","0.0","","1.5","","0.0","","1.5","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-04","2024","01","04","","6.7","","-0.7","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","","","9","","38",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-05","2024","01","05","","4.3","","-3.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","11","","54",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-06","2024","01","06","","4.4","","0.4","","2.4","","15.6","","0.0","","1.3","","0.0","","1.3","","","","28","","58",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-07","2024","01","07","","2.0","","-2.3","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","","","28","","63",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-08","2024","01","08","","-0.8","","-4.1","","-2.5","","20.5","","0.0","","0.0","","6.0","","6.0","","6","E","6","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-09","2024","01","09","","1.0","","-3.0","","-1.0","","19.0","","0.0","","0.0","","1.6","","1.6","","7","","11","","49",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-10","2024","01","10","","-0.1","","-5.7","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","7","","28","","45",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-11","2024","01","11","","-5.1","","-21.7","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","6","","29","","73",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-12","2024","01","12","","-21.3","","-27.3","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","5","","29","","56",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-13","2024","01","13","","-20.9","","-28.6","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","5","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-14","2024","01","14","","-13.5","","-22.1","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","5","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-15","2024","01","15","","-14.2","","-21.4","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","5","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-16","2024","01","16","","-8.4","","-15.3","","-11.9","","29.9","","0.0","","0.0","","3.5","","3.5","","5","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-17","2024","01","17","","-6.3","","-10.6","","-8.5","","26.5","","0.0","","0.3","","12.8","","12.8","","15","","28","","51",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-18","2024","01","18","","-7.2","","-15.6","","-11.4","","29.4","","0.0","","0.0","","0.0","T","0.0","T","22","","28","","34",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-19","2024","01","19","","-5.0","","-11.1","","-8.1","","26.1","","0.0","","3.3","","5.6","","15.1","","18","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-20","2024","01","20","","-1.3","","-5.5","","-3.4","","21.4","","0.0","","0.0","T","0.0","","0.0","T","23","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-21","2024","01","21","","0.9","","-3.3","","-1.2","","19.2","","0.0","","0.0","","0.2","","0.2","","24","","9","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-22","2024","01","22","","2.4","","-0.3","","1.1","","16.9","","0.0","","0.9","","0.2","","1.1","","21","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-23","2024","01","23","","2.3","","0.7","","1.5","","16.5","","0.0","","14.1","","0.0","","14.1","","15","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-24","2024","01","24","","2.8","","-0.1","","1.4","","16.6","","0.0","","0.9","","0.0","","0.9","","12","E","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-25","2024","01","25","","3.5","","-2.9","","0.3","","17.7","","0.0","","0.0","T","0.0","","0.0","T","11","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-26","2024","01","26","","4.5","","-4.3","","0.1","","17.9","","0.0","","0.0","T","0.0","","0.0","T","10","","9","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-27","2024","01","27","","4.9","","1.8","","3.4","","14.6","","0.0","","2.5","","0.0","","2.5","","8","","10","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-28","2024","01","28","","6.5","","2.9","","4.7","","13.3","","0.0","","2.4","","0.0","","2.4","","5","","11","","37",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-29","2024","01","29","","12.1","","3.8","","8.0","","10.0","","0.0","","0.4","","0.0","","0.4","","0","T","4","","37",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-30","2024","01","30","","13.0","","5.9","","9.5","","8.5","","0.0","","0.0","T","0.0","","0.0","T","0","T","10","","45",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-01-31","2024","01","31","","11.0","","4.8","","7.9","","10.1","","0.0","","1.4","","0.0","","1.4","","","","9","","41",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-02-01","2024","02","01","","10.1","","6.1","","8.1","","9.9","","0.0","","0.6","","0.0","","0.6","","","","10","","36",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-02-02","2024","02","02","","8.9","","0.2","","4.6","","13.4","","0.0","","1.3","","0.0","","1.3","","","","10","","35",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-02-03","2024","02","03","","8.7","","0.7","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","","","28","","43",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-02-04","2024","02","04","","3.8","","-1.4","","1.2","","16.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","48",""
"-120.45","50.70","KAMLOOPS A","1163781","2024-02-05","2024","02","05","","1.8","","-1.7","","0.1","","17.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-02-06","2024","02","06","","3.0","","-1.1","","1.0","","17.0","","0.0","","0.9","","3.2","","2.6","","2","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2024-02-07","2024","02","07","","5.3","","0.4","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","0","T","28","","35",""
